zip,price
15210,46167.57190822608
15204,52969.31751824817
15207,85393.21834061135
15214,93429.6673553719
15235,94134.97728911319
15212,106709.01871782873
15221,111073.86759581881
15227,112836.13265306123
15223,115258.92563600783
15209,126802.09465478842
15202,126916.01771030993
15218,140359.21501976284
15229,154729.33506044906
15211,161361.3232931727
15224,166865.31669044224
15236,166995.67881241566
15201,170237.08705035973
15203,201461.21851851852
15208,226849.9250535332
15206,229525.41958041958
15237,234772.10107655503
15215,236537.10815939278
15233,238435.7135135135
15225,254227.85135135136
15213,262862.843487395
15220,325154.4671221179
15217,337090.2536873156
15232,385161.80967741937
15238,410755.0518018018
15219,818730.0810185185
15222,1375731.052356021
